match_id,time,player_A,player_B,score_1,score_2,score_3,competition,court,winner,odds_A,odds_B,last_updated,status,date,rank_A,rank_B,pts_A,pts_B,surface,series,round,season,winner_code
1a0c78699f,04:10,Sun Yingqun(CHN) [885]1.02,Liu Le Yi (CHN)12.0,7-5,2-0,-,"ITF W15 - Maanshan, China",nan,nan,1.02,12.0,2025-05-13 23:25,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
fc9685e249,05:11,Back Dayeon(KOR) [303]1.32,Kovapitukted Punnin(THA) [647]3.22,2-2,-,-,"ITF W35 - Changwon, South Korea",nan,nan,1.32,3.22,2025-05-13 23:33,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W35 - Changwon, South Korea",nan,2025,nan
6bc9a21c52,04:31,Ohwaki Yui(JPN) [1100]1.62,Wakana Ran (JPN)2.21,1-6,4-0,-,"ITF W15 - Toyama, Japan",nan,nan,1.62,2.21,2025-05-13 23:33,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
9197a9b4ba,04:10,Sun Yingqun(CHN) [885]1.00,Liu Le Yi (CHN)34.0,7-5,4-0,-,"ITF W15 - Maanshan, China",nan,nan,1.0,34.0,2025-05-13 23:33,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
55d450a62a,05:30,Aixirefu Aitiyaguli(CHN)2.06,Hu Feier(CHN) [1138]1.71,-,-,-,"ITF W15 - Maanshan, China",nan,nan,2.06,1.71,2025-05-13 23:33,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Maanshan, China",nan,2025,nan
5e1e862220,04:10,Rodriguez Taverna Santiago(ARG) [196]1.19,Ribero Franco(ARG) [792]4.31,6-3,3-5,-,"ITF M25 - Xalapa, Mexico",nan,nan,1.19,4.31,2025-05-13 23:37,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF M25 - Xalapa, Mexico",nan,2025,nan
c28d259d4c,05:10,Katsumi Nanari(JPN) [922]26.0,Yamazaki Ikumi(JPN) [402]1.00,0-6,0-0,-,"ITF W35 - Changwon, South Korea",,None,26.0,1.00,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF W35 - Changwon, South Korea",,2025,None
c0d3e12404,05:09,Tjen Janice(INA) [372]1.00,Park Yeseo (KOR)29.0,3-2,-,-,"ITF W35 - Changwon, South Korea",nan,nan,1.0,29.0,2025-05-13 23:37,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W35 - Changwon, South Korea",nan,2025,nan
86a4a06067,04:42,Miyata Moeka(JPN)1.32,Yang Ya Yi(TPE) [755]3.22,6-1,0-1,-,"ITF W15 - Toyama, Japan",nan,nan,1.32,3.22,2025-05-13 23:37,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
647498aa7d,04:38,Goto Nanami (JPN)21.0,Lin Fang An(TPE) [941]1.00,1-6,0-3,-,"ITF W15 - Toyama, Japan",nan,nan,21.0,1.0,2025-05-13 23:37,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
31e80f7b35,04:08,Isomura Kokoro(JPN) [487]1.00,Bruce-Smith Jack(AUS)17.0,7-6(8),2-0,-,"ITF M15 - Luan, China",nan,nan,1.0,17.0,2025-05-13 23:39,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF M15 - Luan, China",nan,2025,nan
9d5b6c8a75,04:40,Shimizu Eri(JPN) [373]3.48,Kuramochi Miho(JPN) [391]1.28,2-6,1-1,-,"ITF W75 - Trnava, Slovakia",nan,nan,3.48,1.28,2025-05-13 23:39,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
b8f615888c,05:30,Sakatsume Himeno(JPN) [252]1.25,Omae Akiko(JPN) [570]3.74,0-0,-,-,"ITF W75 - Trnava, Slovakia",nan,nan,1.25,3.74,2025-05-13 23:39,inplay,2025-05-13,nan,nan,nan,nan,Clay,"ITF W75 - Trnava, Slovakia",nan,2025,nan
d0b948f05d,04:27,Shimizu Ayano(JPN) [288]1.00,Namigata Junri(JPN) [1166]41.0,6-4,5-2,-,"ITF W75 - Trnava, Slovakia",,None,1.00,41.0,2025-05-13 23:40,inplay,2025-05-13,,,,,Clay,"ITF W75 - Trnava, Slovakia",,2025,None
1a0baedc0f,04:42,Miyata Moeka(JPN)1.41,Yang Ya Yi(TPE) [755]2.77,6-1,0-1,-,"ITF W15 - Toyama, Japan",nan,nan,1.41,2.77,2025-05-13 23:39,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
3e9cf353ac,05:30,Shao Yushan (CHN)1.95,Wang Jiaqi(CHN) [554]1.80,-,-,-,"ITF W15 - Maanshan, China",,None,1.95,1.80,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF W15 - Maanshan, China",,2025,None
5c97a1ecac,05:11,Back Dayeon(KOR) [303]1.19,Kovapitukted Punnin(THA) [647]4.31,4-2,-,-,"ITF W35 - Changwon, South Korea",,None,1.19,4.31,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF W35 - Changwon, South Korea",,2025,None
